nutrient_id,product_id,weight
1,75,
2,75,36.0
3,75,60.0
4,75,100.0
5,75,23.0
6,75,44.0
7,75,0.0
8,75,304.0
9,75,60.0
10,75,1.9
11,75,41.0
12,75,24.0
13,75,4032.0
14,75,77693.0
15,75,202.0
16,75,30.0
17,75,24.0
18,75,178.0
19,75,0.0
20,75,365.0
21,75,269.0
22,75,6.0
23,75,1.0
24,75,190.0
25,75,12.0
26,75,0.0
27,75,
28,75,16.0
29,75,18.0
30,75,
31,75,
32,75,7.0
33,75,69.0
34,75,95.0
35,75,27.0
36,75,14.0
37,75,62.0
38,75,2.0
39,75,251.0
40,75,1238.0
41,75,34.0
42,75,34.0
43,75,104.0
44,75,758.0
45,75,70.0
46,75,1536.0
47,75,3.0
48,75,138.0
49,75,27.0
50,75,14530.0
51,75,425.0
52,75,
53,75,38.0
54,75,2.23
55,75,14.0
56,75,23.0
57,75,5.0
58,75,14630.0
59,75,16.0
60,75,8.0
61,75,18.0
62,75,1.22
63,75,2.0
64,75,0.0
65,75,46.0
66,75,13.0
67,75,0.0
68,75,605.0
69,75,6.0
70,75,653.0
