nutrient_id,product_id,weight
1,23,
2,23,15.0
3,23,44.0
4,23,69.0
5,23,10.0
6,23,60.0
7,23,0.0
8,23,287.0
9,23,160.0
10,23,1.0
11,23,16.0
12,23,10.0
13,23,41500.0
14,23,88367.0
15,23,154.0
16,23,3.0
17,23,9.0
18,23,31.0
19,23,0.0
20,23,270.0
21,23,140.0
22,23,7.0
23,23,0.8
24,23,142.0
25,23,15.0
26,23,0.0
27,23,
28,23,12.0
29,23,9.0
30,23,
31,23,
32,23,12.0
33,23,30.0
34,23,57.0
35,23,3.0
36,23,39.0
37,23,21.0
38,23,1.0
39,23,113.0
40,23,256.0
41,23,18.0
42,23,18.0
43,23,35.0
44,23,1262.0
45,23,127.0
46,23,410.0
47,23,3.0
48,23,53.0
49,23,41.0
50,23,8520.0
51,23,3440.0
52,23,
53,23,12.0
54,23,2.52
55,23,3.0
56,23,8.0
57,23,2.0
58,23,8693.0
59,23,8.0
60,23,0.0
61,23,16.0
62,23,0.72
63,23,4.0
64,23,0.0
65,23,39.0
66,23,4.0
67,23,0.0
68,23,160.0
69,23,0.0
70,23,680.0
