nutrient_id,product_id,weight
1,690,
2,690,470.0
3,690,710.0
4,690,760.0
5,690,590.0
6,690,170.0
7,690,0.0
8,690,1900.0
9,690,300.0
10,690,1.0
11,690,22.0
12,690,73.0
13,690,0.0
14,690,9743.0
15,690,2400.0
16,690,460.0
17,690,520.0
18,690,4490.0
19,690,
20,690,2971.0
21,690,2780.0
22,690,530.0
23,690,3.3
24,690,219.0
25,690,23.0
26,690,0.03
27,690,
28,690,1010.0
29,690,450.0
30,690,
31,690,
32,690,42.0
33,690,584.0
34,690,195.0
35,690,100.0
36,690,324.0
37,690,404.0
38,690,17.0
39,690,5720.0
40,690,980.0
41,690,76.0
42,690,76.0
43,690,834.0
44,690,0.0
45,690,60.0
46,690,3380.0
47,690,43.0
48,690,
49,690,1490.0
50,690,420.0
51,690,280.0
52,690,
53,690,740.0
54,690,
55,690,420.0
56,690,420.0
57,690,80.0
58,690,69910.0
59,690,640.0
60,690,0.0
61,690,153.0
62,690,5.83
63,690,31.0
64,690,86.0
65,690,1208.0
66,690,310.0
67,690,
68,690,100.0
69,690,63.0
70,690,13297.0
